OID_,epafacilityid,epafacilityid_str,lastoffacilityname,lastofparentcompanyname,maxofreceiptdate,lastoffacilityduns,lastoffacilitystr1,lastoffacilitystr2,lastoffacilitycity,lastoffacilitystate,lastoffacilityzipcode,lastofcounty_name,firstofnaicscode,firstofnaics_description,latitude,longitude,lastofhorizontalrefdatumcode,lastoflatlongdescription,feat_desc,lastoffte,oshapsm,epcra302,caa_titlev,clearairoppermitid,lastofsafetyinspectiondate,lastofsafetyinspectionby,deregistrationdate,deregistrationreasoncode,safety_rating
275,1E+11,EPA100000017233,Hercules - Hopewell Plant,Ashland Inc.,19-Aug-17,152728887,1111 Hercules Road,,Hopewell,VA,23860,HOPEWELL (CITY),325199,All Other Basic Organic Chemical Manufacturing,37.285763,-77.273598,3,ST,Storage Tank,256,1,1,1,50363,26-Jan-16,EPA,,,4
318,1E+11,EPA100000020041,Bunge OVC,"Bunge North America, Inc.",26-Apr-19,130536162,1595 Mary St,,Sandston,VA,23150,HENRICO,31122,Starch and Vegetable Fats and Oils Manufacturing,37.530277,-77.308891,3,CE,Center of Facility,130,1,1,0,,1-Nov-17,Fire Department,,,1
322,1E+11,EPA100000020461,Brenntag Mid-South Inc.,"Brenntag Mid-South, Inc",17-Dec-18,47372503,3687 Forrest Road,,Bedford,VA,24523,BEDFORD,42469,Other Chemical and Allied Products Merchant Wholesalers,37.346416,-79.483032,3,CE,Center of Facility,13,1,1,0,,1-Nov-18,Internal audit,,,1
366,1E+11,EPA100000024065,New Design Road Water Treatment Plant,Frederick County Board of County Commissioners,29-Apr-19,0,850 New Design Road,,Tuscarora,MD,21790,FREDERICK,22131,Water Supply and Irrigation Systems,39.256256,-77.480499,3,CE,Center of Facility,13,1,1,0,,13-Mar-14,County Insurance Carrier,,,3
580,1E+11,EPA100000037088,"FP International - Newark, DE",FP International,11-Jun-09,44855344,111 Alan Drive,,Newark,DE,19711,NEW CASTLE,32614,Polystyrene Foam Product Manufacturing,39.676388,-75.755836,3,PG,Plant Entrance (General),35,1,0,1,AQM-003/00037,17-Mar-09,OSHA,11-Mar-14,3,2
601,1E+11,EPA100000038112,"Smithfield Fresh Meats Corp. - Smithfield, VA","United Global Foods (US) Holdings, Inc.",5-Mar-19,1547835,601 North Church ST,,Smithfield,VA,23430,ISLE OF WIGHT,311611,Animal (except Poultry) Slaughtering,36.993607,-76.628906,3,PG,Plant Entrance (General),2250,1,1,1,VA- 60270,12-Feb-19,OSHA,,,1
632,1E+11,EPA100000040617,James H. Diehl Water Filtration Plant,Frederick County Sanitation Authority Plant,11-Apr-19,0,5100 Passage Rd.,,Stephens City,VA,22655,FREDERICK,22131,Water Supply and Irrigation Systems,39.09724,-78.225578,3,PC,Process Unit Area Centroid,4,1,1,0,,15-Feb-19,Fire Department,,,1
639,1E+11,EPA100000041055,Lake Linganore Water Treatment Plant,Frederick CountyBoard of County Commissioners,26-May-09,0,Eagle Head Drive,Quinn Road @ the Lake Linganore Dam,New Market,MD,21774,FREDERICK,22131,Water Supply and Irrigation Systems,39.249161,-77.196457,3,CE,Center of Facility,0,1,1,0,,22-May-07,Frederick County DFRS,5-Nov-13,2,1
666,1E+11,EPA100000042508,Hopewell Power Station,Virginia Electric and Power Company,23-Jul-18,783234966,107 Rev. CW Harris Street,,Hopewell,VA,23860,HOPEWELL (CITY),221117,Biomass Electric Power Generation,37.297501,-77.282776,3,ST,Storage Tank,30,1,0,1,VA51019,26-Feb-98,State occupational safety agency,,,1
685,1E+11,EPA100000043678,Bladensburg Facility,"Airgas, Inc.",23-Aug-17,3249885,2900 52ND Ave.,,Hyattsville,MD,20781,PRINCE GEORGE'S,42469,Other Chemical and Allied Products Merchant Wholesalers,38.92778,-76.934441,3,CE,Center of Facility,57,1,1,1,033-1079,28-Apr-17,State environmental agency,,,2
715,1E+11,EPA100000046489,Dreyer's Grand Ice Cream,"Dreyer's Grand Ice Cream Holdings, Inc.",2-Dec-20,66563859,9090 Whiskey Bottom Road,,Laurel,MD,20723,HOWARD,31152,Ice Cream and Frozen Dessert Manufacturing,39.113609,-76.827782,3,PG,Plant Entrance (General),900,1,1,0,,2-Oct-17,State occupational safety agency,,,5
719,1E+11,EPA100000046675,John J. DiFonzo Water Reclamation Facility,City of Cumberland,4-Sep-19,0,400 E. Offutt Street Extended,,Cumberland,MD,21502,ALLEGANY,22132,Sewage Treatment Facilities,39.625008,-78.756035,3,PC,Process Unit Area Centroid,17,1,1,0,,10-Dec-14,Fire Department,,,1
725,1E+11,EPA100000047022,Altavista Power Station,Virginia Electric and Power Company,26-Mar-20,785521592,104 Wood Lane,,Altavista,VA,24517,CAMPBELL,221117,Biomass Electric Power Generation,37.118332,-79.273888,3,ST,Storage Tank,30,1,1,1,SCRO30859,20-Jun-08,State occupational safety agency,,,2
774,1E+11,EPA100000049805,SHORELAND FREEZERS,,18-Jun-04,3086840,111 Bateman St,SOUTH DIVISION ST,SALISBURY,MD,21804,WICOMICO,32518,Other Basic Inorganic Chemical Manufacturing,38.349724,-75.599724,3,WM,Water Monitoring Station,15,1,1,0,,1-Feb-98,State occupational safety agency,29-Jun-06,3,1
787,1E+11,EPA100000050464,Doswell Energy Center,Doswell Limited Partnership,29-May-19,135474588,10098 Old Ridge Road,,Ashland,VA,23005,HANOVER,221112,Fossil Fuel Electric Power Generation,37.818237,-77.447792,3,PG,Plant Entrance (General),29,1,1,1,51018,5-Feb-19,Fire Department,,,1
819,1E+11,EPA100000053032,Birchwood Power Facility,"Birchwood Power Partners, L.P. (owner)",12-Dec-18,140437893,10900 Birchwood Drive,,King George,VA,22485,KING GEORGE,221112,Fossil Fuel Electric Power Generation,38.264809,-77.310829,3,UN,Unknown,60,1,1,1,FOS40809,22-Sep-16,State occupational safety agency,17-Sep-21,3,3
825,1E+11,EPA100000053817,"Duron, Inc.",,22-Jun-04,3255163,10406 Tucker Street,,Beltsville,MD,20705,PRINCE GEORGE'S,32551,Paint and Coating Manufacturing,39.025002,-76.916664,3,CE,Center of Facility,450,0,0,0,,12-Mar-04,State environmental agency,25-Sep-06,4,1
870,1E+11,EPA100000057056,Simmons Feed Ingredients Inc.- Bridgeville,Simmons Feed Ingredients Inc.,8-Jan-19,0,8141 Seashore Hwy,,Bridgeville,DE,19933,SUSSEX,49312,Refrigerated Warehousing and Storage,38.743221,-75.607353,3,PU,Process Unit,60,1,1,0,,27-Oct-16,State environmental agency,,,1
965,1E+11,EPA100000063717,"Amick Farms, LLC","OSI Group, LLC",31-Dec-20,46508875,274 Nealson Street,,Hurlock,MD,21643,DORCHESTER,311615,Poultry Processing,38.634705,-75.858589,3,ST,Storage Tank,1625,1,1,0,,7-Aug-20,BRC Audit by WQS,,,4
1143,1E+11,EPA100000075937,DuPont - Spruance,"DuPont Specialty Products USA, LLC",11-Mar-19,0,5401 Jefferson Davis Highway,,Richmond,VA,23234,CHESTERFIELD,31323,Nonwoven Fabric Mills,37.451916,-77.433357,3,CE,Center of Facility,1750,1,1,1,PRO50397,21-Feb-19,State environmental agency,,,2
1151,1E+11,EPA100000076348,"Allen Harim Foods, LLC - Harbeson Plant","Allen Harim Foods, LLC",17-Nov-17,0,18752 Harbeson Road,,Harbeson,DE,19951,SUSSEX,311615,Poultry Processing,38.720207,-75.28875,3,CE,Center of Facility,1571,1,1,0,,13-Mar-17,Parker Services,,,2
1188,1E+11,EPA100000078337,Seneca Wastewater Treatment Plant,Washington Suburban Sanitary Commission,18-Jun-04,0,12600 Great Seneca Highway,,Germantown,MD,20874,MONTGOMERY,22132,Sewage Treatment Facilities,39.073502,-77.161499,3,LF,Loading Facility,34,1,1,0,,8-Oct-03,State environmental agency,18-Jun-09,1,1
1245,1E+11,EPA100000081715,"ChemTreat, Inc., Ashland, VA",,4-Jun-19,65386906,10040 Lickinghole Road,,Ashland,VA,23005,HANOVER,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,37.702877,-77.4412,3,PG,Plant Entrance (General),75,0,1,0,,29-Nov-18,Fire Department,,,5
1261,1E+11,EPA100000082787,John Flannagan Water Authority,,5-Feb-20,118109867,552 Flannagan Dam Road,,Haysi,VA,24256,DICKENSON,22131,Water Supply and Irrigation Systems,37.21933,-82.337776,3,PC,Process Unit Area Centroid,9,0,1,0,,9-Apr-14,State environmental agency,,,3
1335,1E+11,EPA100000086578,Town of Pulaski Water Filtration Plant,,28-Oct-09,0,911 Randolph Avenue,,Pulaski,VA,24301,PULASKI,22131,Water Supply and Irrigation Systems,37.055832,-80.784164,3,CE,Center of Facility,8,0,1,0,,10-Jun-09,Fire Department,26-Aug-14,2,1
1349,1E+11,EPA100000087489,"High Liner Foods USA, Inc.","HLF USA, Inc. Portsmouth, NH",13-Apr-21,41421157,190 Enterprise Drive,,Newport News,VA,23603,NEWPORT NEWS (CITY),31171,Seafood Product Preparation and Packaging,37.173889,-76.58667,3,ST,Storage Tank,431,1,1,0,,21-Apr-16,EPA,,,2
1397,1E+11,EPA100000091429,"VPGC, LLC","Virginia Poultry Growers Cooperative, Inc.",28-Mar-19,7334170,6349 Rawley Pike,,Hinton,VA,22831,ROCKINGHAM,311615,Poultry Processing,38.46909,-78.976852,3,PP,Plant Entrance (Personnel),485,1,1,0,,24-Jul-18,OSHA,,,1
1402,1E+11,EPA100000091624,"WestRock Virginia, LLC",WestRock CO,30-Jun-18,81092578,104 East Riverside Street,,Covington,VA,24426,ALLEGHANY,32213,Paperboard Mills,37.796356,-79.992821,3,PG,Plant Entrance (General),1046,1,1,1,20328,14-Oct-17,OSHA,,,1
1429,1E+11,EPA100000092687,AES Warrior Run,The AES Corporation,25-Jun-19,159808419,"11600 Mexico Farms Rd, S.E.",,Cumberland,MD,21502,ALLEGANY,221112,Fossil Fuel Electric Power Generation,39.595387,-78.74556,3,ST,Storage Tank,60,1,1,1,24-001-00203,30-Jul-14,EPA,,,3
1433,1E+11,EPA100000093169,Southern States Chesapeake Fertilizer,"Southern States Cooperative, Inc.",15-Jun-09,0,2651 South Military Highway,,Chesapeake,VA,23324,CHESAPEAKE (CITY),32531,Fertilizer Manufacturing,36.77639,-76.290833,3,PC,Process Unit Area Centroid,29,1,1,0,,4-Jan-07,OSHA,9-Apr-14,2,1
1560,1E+11,EPA100000102818,Lineage Logistics Smithfield,Lineage Logistics,7-Jul-19,0,10070 Old Stage Highway,,Smithfield,VA,23431,ISLE OF WIGHT,49312,Refrigerated Warehousing and Storage,37.003731,-76.628578,3,AB,Administrative Building,51,1,1,0,,17-Dec-15,State environmental agency,,,5
1561,1E+11,EPA100000102872,Lineage Logistics Norfolk,"Lineage Logistics Holdings, LLC",22-Jun-19,0,8791 Hampton Blvd,,Norfolk,VA,23505,NORFOLK (CITY),49312,Refrigerated Warehousing and Storage,36.931793,-76.329277,3,AB,Administrative Building,63,1,1,0,,3-May-16,EPA,,,4
1584,1E+11,EPA100000104585,"Perdue Foods, LLC",,12-Apr-21,95279725,20621 Savannah Road,,Georgetown,DE,19947,SUSSEX,311615,Poultry Processing,38.698227,-75.380707,3,AB,Administrative Building,1500,1,1,0,,19-Aug-20,Global Risk Insurance Company,,,4
1605,1E+11,EPA100000105879,City of Wilmington Water Pollution Control Fac.,,25-Jun-04,0,East 12th Street and Hay Road,,Wilmington,DE,19802,NEW CASTLE,22132,Sewage Treatment Facilities,39.73275,-75.519196,3,AB,Administrative Building,34,1,1,1,AQM-003/00389,4-Oct-02,State environmental agency,8-Dec-05,2,2
1669,1E+11,EPA100000109606,"Croda, Inc. - Atlas Point",,22-May-19,0,315 Cherry Lane,,New Castle,DE,19720,NEW CASTLE,325613,Surface Active Agent Manufacturing,39.6917,-75.541702,3,CE,Center of Facility,242,1,1,1,AQM-003/00426,28-Nov-18,OSHA,,,1
1727,1E+11,EPA100000112996,Front Royal Water Treatment Plant,,23-May-05,0,5 Aqueduct Lane,,Front Royal,VA,22630,WARREN,22131,Water Supply and Irrigation Systems,38.906418,-78.084053,3,AB,Administrative Building,7,1,1,0,,16-Jun-99,Fire Department,26-Feb-09,4,1
1728,1E+11,EPA100000113067,Front Royal Wastewater Treatment Plant,,7-May-15,0,Manassas Ave-Extended,,Front Royal,VA,22630,WARREN,22132,Sewage Treatment Facilities,38.943333,-78.190002,3,CE,Center of Facility,11,1,1,0,,19-Aug-13,VML Risk Management,21-Apr-17,2,3
1732,1E+11,EPA100000113281,"Solenis - Franklin, Virginia",Solenis LLC,28-May-21,3122165,27123 Shady Brook Trail,,Courtland,VA,23837,SOUTHAMPTON,325199,All Other Basic Organic Chemical Manufacturing,36.651669,-76.998611,3,CE,Center of Facility,64,1,1,1,60188,27-May-21,DOT FRA Inspection,,,2
1765,1E+11,EPA100000115332,"Applied Extrusion Technologies, Inc","Applied Extrusion Technologies, Inc",23-Jun-04,1315647,901 West Edgemont Drive,,Covington,VA,24426,COVINGTON (CITY),325211,Plastics Material and Resin Manufacturing,37.757473,-79.998474,3,ST,Storage Tank,148,1,1,0,,6-Jan-00,OSHA,23-Mar-09,4,4
1821,1E+11,EPA100000119604,Rust-Oleum Corporation,"RPM, Inc.",7-Jan-21,5094420,16410 Industrial Lane,,Williamsport,MD,21795,WASHINGTON,32551,Paint and Coating Manufacturing,39.598358,-77.801468,3,CE,Center of Facility,203,1,0,0,,30-Oct-20,Fire Department,,,2
1897,1E+11,EPA100000124288,"Norwich Fluids, Inc.",,3-Dec-04,185775285,13807 Main Street,,Queen Anne,MD,21657,QUEEN ANNE'S,325314,Fertilizer (Mixing Only) Manufacturing,38.922638,-75.95639,3,CE,Center of Facility,13,0,1,0,,30-Jun-04,Maryland Department of Agriculture,9-Feb-10,3,1
1916,1E+11,EPA100000125688,"Hanover Foods Corporation - Ridgely, MD Facility",Hanover Foods Corporation,9-Jan-19,0,502 Factory Lane,,Ridgely,MD,21660,CAROLINE,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",38.944347,-75.892647,3,PG,Plant Entrance (General),100,1,0,0,,15-Feb-10,CNA Insurance,,,2
